rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,C,linux,148614,47287,C,https://github.com/torvalds/linux,torvalds,0,2023-03-26T21:45:56Z,Linux kernel source tree
2,C,qmk_firmware,14682,31409,C,https://github.com/qmk/qmk_firmware,qmk,269,2023-03-27T10:50:08Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
3,C,git,45690,24867,C,https://github.com/git/git,git,0,2023-03-27T11:17:35Z,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
4,C,FreeRDP,8036,21982,C,https://github.com/FreeRDP/FreeRDP,FreeRDP,503,2023-03-27T08:48:49Z,FreeRDP is a free remote desktop protocol library and clients
5,C,darknet,23968,21226,C,https://github.com/pjreddie/darknet,pjreddie,1783,2023-03-22T07:48:36Z,Convolutional Neural Networks
6,C,lede,25370,18812,C,https://github.com/coolsnowwolf/lede,coolsnowwolf,519,2023-03-26T14:18:22Z,Lean's LEDE source
7,C,FFmpeg,35057,10734,C,https://github.com/FFmpeg/FFmpeg,FFmpeg,0,2023-03-27T12:05:04Z,Mirror of https://git.ffmpeg.org/ffmpeg.git
8,C,openssl,21270,9004,C,https://github.com/openssl/openssl,openssl,1788,2023-03-27T11:02:20Z,TLS/SSL and crypto library
9,C,openwrt,14469,8470,C,https://github.com/openwrt/openwrt,openwrt,1794,2023-03-27T11:16:41Z,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
10,C,scrcpy,79973,8265,C,https://github.com/Genymobile/scrcpy,Genymobile,1260,2023-03-27T02:31:56Z,Display and control your Android device
11,C,ijkplayer,31246,7969,C,https://github.com/bilibili/ijkplayer,bilibili,2747,2022-12-23T14:16:42Z,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support."
12,C,php-src,35204,7497,C,https://github.com/php/php-src,php,340,2023-03-27T11:43:50Z,The PHP Interpreter
13,C,stb,21432,7431,C,https://github.com/nothings/stb,nothings,88,2023-03-23T06:27:52Z,stb single-file public domain libraries for C/C++
14,C,The-Art-Of-Programming-By-July-2nd,20794,7180,C,https://github.com/julycoding/The-Art-Of-Programming-By-July-2nd,julycoding,47,2023-02-26T17:05:49Z,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售
15,C,obs-studio,46445,6725,C,https://github.com/obsproject/obs-studio,obsproject,379,2023-03-27T11:31:28Z,OBS Studio - Free and open source software for live streaming and screen recording
16,C,arduino-esp32,10415,6618,C,https://github.com/espressif/arduino-esp32,espressif,392,2023-03-27T02:48:48Z,Arduino core for the ESP32
17,C,esp-idf,10226,6315,C,https://github.com/espressif/esp-idf,espressif,1282,2023-03-27T09:15:52Z,Espressif IoT Development Framework. Official development framework for Espressif SoCs.
18,C,nginx,18181,6229,C,https://github.com/nginx/nginx,nginx,0,2023-03-13T12:59:44Z,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html"
19,C,curl,28974,5637,C,https://github.com/curl/curl,curl,52,2023-03-27T11:49:24Z,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
20,C,netdata,62403,5479,C,https://github.com/netdata/netdata,netdata,234,2023-03-27T11:59:38Z,"Real-time performance monitoring, done right! https://www.netdata.cloud"
21,C,USTC-CS-Courses-Resource,1017,5056,C,https://github.com/ustcwpz/USTC-CS-Courses-Resource,ustcwpz,0,2020-12-13T06:51:12Z,USTC计算机学院课程资源
22,C,Windows-driver-samples,5900,4698,C,https://github.com/microsoft/Windows-driver-samples,microsoft,329,2023-03-24T19:55:13Z,This repo contains driver samples prepared for use with Microsoft Visual Studio and the Windows Driver Kit (WDK). It contains both Universal Windows Driver and desktop-only driver samples.
23,C,TDengine,21067,4632,C,https://github.com/taosdata/TDengine,taosdata,855,2023-03-27T12:00:48Z,"TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
24,C,qemu,7576,4533,C,https://github.com/qemu/qemu,qemu,0,2023-03-22T22:10:43Z,Official QEMU mirror. Please see http://wiki.qemu.org/Contribute/SubmitAPatch for how to submit changes to QEMU. Pull Requests are ignored. Please only use release tarballs from the QEMU website.
25,C,linux,9619,4451,C,https://github.com/raspberrypi/linux,raspberrypi,684,2023-03-27T09:38:34Z,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/
26,C,klipper,6394,4392,C,https://github.com/Klipper3d/klipper,Klipper3d,8,2023-03-27T09:55:43Z,Klipper is a 3d-printer firmware
