rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,Java,tutorials,33713,52995,Java,https://github.com/eugenp/tutorials,eugenp,27,2023-03-27T11:34:59Z,"Just Announced - ""Learn Spring Security OAuth"": "
2,Java,JavaGuide,132262,43690,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,67,2023-03-27T08:04:57Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
3,Java,spring-boot,66299,38268,Java,https://github.com/spring-projects/spring-boot,spring-projects,581,2023-03-27T10:40:09Z,Spring Boot
4,Java,spring-framework,51219,35803,Java,https://github.com/spring-projects/spring-framework,spring-projects,1226,2023-03-27T09:44:35Z,Spring Framework
5,Java,dubbo,38626,25744,Java,https://github.com/apache/dubbo,apache,696,2023-03-27T11:34:23Z,"Apache Dubbo is a high-performance, java based, open source RPC framework."
6,Java,react-native,108556,23091,Java,https://github.com/facebook/react-native,facebook,1887,2023-03-27T11:44:36Z,A framework for building native applications using React
7,Java,elasticsearch,63159,22891,Java,https://github.com/elastic/elasticsearch,elastic,3593,2023-03-27T11:43:49Z,"Free and Open, Distributed, RESTful Search Engine"
8,Java,advanced-java,69288,18164,Java,https://github.com/doocs/advanced-java,doocs,2,2023-03-06T12:09:22Z,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
9,Java,Java,50856,16740,Java,https://github.com/TheAlgorithms/Java,TheAlgorithms,6,2023-03-27T02:36:06Z,All Algorithms implemented in Java
10,Java,LeetCodeAnimation,72652,13856,Java,https://github.com/MisterBooo/LeetCodeAnimation,MisterBooo,16,2023-03-21T01:33:14Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
11,Java,jeecg-boot,34010,13298,Java,https://github.com/jeecgboot/jeecg-boot,jeecgboot,82,2023-03-15T03:36:27Z,⭐️「企业级低代码平台」前后端分离架构SpringBoot 2.x，SpringCloud，Ant Design&Vue，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。
12,Java,kafka,24473,12438,Java,https://github.com/apache/kafka,apache,0,2023-03-27T11:22:27Z,Mirror of Apache Kafka
13,Java,spring-boot-examples,28706,12223,Java,https://github.com/ityouknow/spring-boot-examples,ityouknow,5,2022-12-29T02:11:04Z,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
14,Java,mybatis-3,18315,12177,Java,https://github.com/mybatis/mybatis-3,mybatis,125,2023-03-23T07:13:41Z,MyBatis SQL mapper framework for Java
15,Java,flink,20942,11809,Java,https://github.com/apache/flink,apache,0,2023-03-27T11:14:21Z,Apache Flink
16,Java,rocketmq,18973,10689,Java,https://github.com/apache/rocketmq,apache,391,2023-03-27T11:11:30Z,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications."
