rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
1,AspNetCore.Docs,25415,11483,C#,https://github.com/dotnet/AspNetCore.Docs,Documentation for ASP.NET Core,MDEwOlJlcG9zaXRvcnkyODIzOTQ1NQ==,2023-03-28T12:18:33Z
2,shadowsocks-windows,16423,56116,C#,https://github.com/shadowsocks/shadowsocks-windows,A C# port of shadowsocks,MDEwOlJlcG9zaXRvcnk3NjAwNDA5,2023-02-27T03:52:35Z
3,eShopOnContainers,9817,22812,C#,https://github.com/dotnet-architecture/eShopOnContainers,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 7, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",MDEwOlJlcG9zaXRvcnk3MDEwNDgyNQ==,2023-03-27T18:29:25Z
4,aspnetcore,8937,31291,C#,https://github.com/dotnet/aspnetcore,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",MDEwOlJlcG9zaXRvcnkxNzYyMDM0Nw==,2023-03-28T10:51:10Z
5,v2rayN,7631,39891,C#,https://github.com/2dust/v2rayN,"A V2Ray client for Windows, support Xray core and v2fly core",MDEwOlJlcG9zaXRvcnkxOTk1NzAwNzE=,2023-03-28T12:13:01Z
6,xamarin-forms-samples,7604,4277,C#,https://github.com/xamarin/xamarin-forms-samples,Sample apps built using the Xamarin.Forms framework,MDEwOlJlcG9zaXRvcnkxOTIxNjgyNQ==,2023-03-03T00:28:09Z
7,example-voting-app,7066,3462,C#,https://github.com/dockersamples/example-voting-app,"Example distributed app composed of multiple containers for Docker, Compose, Swarm, and Kubernetes",MDEwOlJlcG9zaXRvcnk0NjIzMzQ1MQ==,2023-03-11T14:43:42Z
8,PowerShell,6415,37678,C#,https://github.com/PowerShell/PowerShell,PowerShell for every system!,MDEwOlJlcG9zaXRvcnk0OTYwOTU4MQ==,2023-03-28T00:36:41Z
9,PowerToys,5103,88603,C#,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,2023-03-28T11:49:51Z
11,mslearn-tailspin-spacegame-web-models,4731,20,C#,https://github.com/MicrosoftDocs/mslearn-tailspin-spacegame-web-models,Code used in Microsoft Learn modules to support Azure DevOps,MDEwOlJlcG9zaXRvcnkxODY0ODU3MjU=,2022-11-25T06:16:29Z
10,samples,4718,2761,C#,https://github.com/dotnet/samples,Sample code referenced by the .NET documentation,MDEwOlJlcG9zaXRvcnkxMTk1NzE0NDY=,2023-03-28T09:44:07Z
12,nopCommerce,4541,7998,C#,https://github.com/nopSolutions/nopCommerce,ASP.NET Core eCommerce software. nopCommerce is a free and open-source shopping cart.,MDEwOlJlcG9zaXRvcnkxODU4NjcwNQ==,2023-03-28T09:15:13Z
13,shadowsocksr-csharp,4515,909,C#,https://github.com/shadowsocksr-rm/shadowsocksr-csharp,,MDEwOlJlcG9zaXRvcnk5ODUzMjYxNg==,2019-04-21T12:38:01Z
14,dnSpy,4508,22987,C#,https://github.com/dnSpy/dnSpy,.NET debugger and assembly editor,MDEwOlJlcG9zaXRvcnkzODM4MDg1NA==,2020-12-20T23:55:15Z
15,eShopOnWeb,4427,8615,C#,https://github.com/dotnet-architecture/eShopOnWeb,"Sample ASP.NET Core 6.0 reference application, powered by Microsoft, demonstrating a layered application architecture with monolithic deployment model. Download the eBook PDF from docs folder.",MDEwOlJlcG9zaXRvcnk4MzM4MDk5NQ==,2023-03-28T01:40:36Z
16,WeiXinMPSDK,4283,7757,C#,https://github.com/JeffreySu/WeiXinMPSDK,微信全平台 SDK Senparc.Weixin for C#，支持 .NET Framework 及 .NET Core、.NET 6.0、.NET 7.0。已支持微信公众号、小程序、小游戏、微信支付、企业微信/企业号、开放平台、JSSDK、微信周边等全平台。 WeChat SDK for C#.,MDEwOlJlcG9zaXRvcnk3NTYwNTg5,2023-03-21T15:35:49Z
17,monodroid-samples,4131,2190,C#,https://github.com/xamarin/monodroid-samples,A collection of Xamarin.Android sample projects.,MDEwOlJlcG9zaXRvcnk4NDE0MTI=,2023-01-28T22:09:18Z
18,roslyn,3838,17224,C#,https://github.com/dotnet/roslyn,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,MDEwOlJlcG9zaXRvcnkyOTA3ODk5Nw==,2023-03-28T11:51:33Z
19,IdentityServer4,3836,9015,C#,https://github.com/IdentityServer/IdentityServer4,OpenID Connect and OAuth 2.0 Framework for ASP.NET Core,MDEwOlJlcG9zaXRvcnk0NjY1MjIyNw==,2022-12-13T07:48:19Z
20,runtime,3833,11593,C#,https://github.com/dotnet/runtime,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",MDEwOlJlcG9zaXRvcnkyMTA3MTYwMDU=,2023-03-28T12:36:20Z
21,mono,3780,10356,C#,https://github.com/mono/mono,"Mono open source ECMA CLI, C# and .NET implementation.",MDEwOlJlcG9zaXRvcnk3OTE2MTE=,2023-03-13T11:59:18Z
22,ml-agents,3769,14363,C#,https://github.com/Unity-Technologies/ml-agents,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,MDEwOlJlcG9zaXRvcnkxMDI5MDQ2MTM=,2023-03-26T15:38:43Z
23,aspnetboilerplate,3691,10969,C#,https://github.com/aspnetboilerplate/aspnetboilerplate,ASP.NET Boilerplate - Web Application Framework,MDEwOlJlcG9zaXRvcnkxMjIwMTUzOA==,2023-03-23T07:18:17Z
24,Dapper,3607,15952,C#,https://github.com/DapperLib/Dapper,Dapper - a simple object mapper for .Net,MDEwOlJlcG9zaXRvcnkxNjEzMzQ1,2023-03-11T20:21:56Z
25,azure-powershell,3404,3511,C#,https://github.com/Azure/azure-powershell,Microsoft Azure PowerShell,MDEwOlJlcG9zaXRvcnkyMzg5MTE5NA==,2023-03-28T09:26:23Z
26,PnP,3359,1880,C#,https://github.com/pnp/PnP,SharePoint / Office 365 Developer Patterns and Practices - Archived older solutions. Please see https://aka.ms/m365pnp for updated guidance,MDEwOlJlcG9zaXRvcnkyMjMwMDkyNA==,2021-08-24T11:00:27Z
27,TailwindTraders-Backend,3296,173,C#,https://github.com/microsoft/TailwindTraders-Backend,Tailwind Traders Backend Services,MDEwOlJlcG9zaXRvcnkxNTk0MTE1Nzg=,2023-03-20T17:41:33Z
28,MaterialDesignInXamlToolkit,3211,13335,C#,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",MDEwOlJlcG9zaXRvcnkzMDQ3NDI2Ng==,2023-03-23T06:31:49Z
29,Newtonsoft.Json,3167,9939,C#,https://github.com/JamesNK/Newtonsoft.Json,Json.NET is a popular high-performance JSON framework for .NET,MDEwOlJlcG9zaXRvcnkzNDc2ODQ1,2023-03-17T21:05:27Z
30,ILSpy,3078,17355,C#,https://github.com/icsharpcode/ILSpy,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",MDEwOlJlcG9zaXRvcnkxMzI3NzM5,2023-03-27T11:32:37Z
31,mobile-samples,3055,1454,C#,https://github.com/xamarin/mobile-samples,,MDEwOlJlcG9zaXRvcnkyNzgxMTU0,2020-12-16T15:45:37Z
32,WPF-Samples,3016,4175,C#,https://github.com/microsoft/WPF-Samples,Repository for WPF related samples,MDEwOlJlcG9zaXRvcnkzNDAyMzkxNg==,2023-03-09T08:28:57Z
33,abp,2959,9653,C#,https://github.com/abpframework/abp,Open Source Web Application Framework for ASP.NET Core,MDEwOlJlcG9zaXRvcnk3NTUwNTEyNQ==,2023-03-28T11:44:36Z
34,efcore,2920,12341,C#,https://github.com/dotnet/efcore,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",MDEwOlJlcG9zaXRvcnkxNjE1Nzc0Ng==,2023-03-28T12:23:41Z
35,CefSharp,2852,9207,C#,https://github.com/cefsharp/CefSharp,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework,MDEwOlJlcG9zaXRvcnkxMTM1NDU0,2023-03-16T03:17:33Z
36,ShareX,2812,23726,C#,https://github.com/ShareX/ShareX,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",MDEwOlJlcG9zaXRvcnkxMzQyODI2NA==,2023-03-28T10:43:02Z
37,Lean,2784,7257,C#,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#)",MDEwOlJlcG9zaXRvcnkyNzI1MTQ2Mw==,2023-03-28T12:10:00Z
