rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,C,linux,148614,47287,C,https://github.com/torvalds/linux,torvalds,0,2023-03-26T21:45:56Z,Linux kernel source tree
2,C,scrcpy,79973,8265,C,https://github.com/Genymobile/scrcpy,Genymobile,1260,2023-03-27T02:31:56Z,Display and control your Android device
3,C,netdata,62403,5479,C,https://github.com/netdata/netdata,netdata,234,2023-03-27T11:24:47Z,"Real-time performance monitoring, done right! https://www.netdata.cloud"
4,C,Ventoy,46898,3296,C,https://github.com/ventoy/Ventoy,ventoy,398,2023-03-26T11:11:57Z,A new bootable USB solution.
5,C,obs-studio,46444,6725,C,https://github.com/obsproject/obs-studio,obsproject,379,2023-03-27T11:31:28Z,OBS Studio - Free and open source software for live streaming and screen recording
6,C,git,45690,24867,C,https://github.com/git/git,git,0,2023-03-27T11:17:35Z,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
7,C,php-src,35204,7496,C,https://github.com/php/php-src,php,340,2023-03-27T11:43:50Z,The PHP Interpreter
8,C,FFmpeg,35057,10734,C,https://github.com/FFmpeg/FFmpeg,FFmpeg,0,2023-03-27T11:50:04Z,Mirror of https://git.ffmpeg.org/ffmpeg.git
9,C,wrk,34118,2796,C,https://github.com/wg/wrk,wg,124,2023-01-19T00:59:31Z,Modern HTTP benchmarking tool
10,C,ijkplayer,31246,7969,C,https://github.com/bilibili/ijkplayer,bilibili,2747,2022-12-23T14:16:42Z,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support."
11,C,curl,28974,5637,C,https://github.com/curl/curl,curl,52,2023-03-27T11:49:24Z,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
12,C,tmux,28145,1872,C,https://github.com/tmux/tmux,tmux,29,2023-03-26T21:42:26Z,tmux source code
13,C,lede,25370,18812,C,https://github.com/coolsnowwolf/lede,coolsnowwolf,519,2023-03-26T14:18:22Z,Lean's LEDE source
14,C,the_silver_searcher,24746,1379,C,https://github.com/ggreer/the_silver_searcher,ggreer,414,2023-03-20T09:49:17Z,"A code-searching tool similar to ack, but faster."
15,C,os-tutorial,24710,3081,C,https://github.com/cfenollosa/os-tutorial,cfenollosa,64,2023-02-19T13:42:52Z,How to create an OS from scratch
16,C,jq,24569,1415,C,https://github.com/stedolan/jq,stedolan,679,2023-03-09T10:43:39Z,Command-line JSON processor
17,C,darknet,23968,21226,C,https://github.com/pjreddie/darknet,pjreddie,1783,2023-03-22T07:48:36Z,Convolutional Neural Networks
18,C,emscripten,23510,3042,C,https://github.com/emscripten-core/emscripten,emscripten-core,1275,2023-03-27T09:39:57Z,Emscripten: An LLVM-to-WebAssembly Compiler
19,C,rufus,22279,2229,C,https://github.com/pbatard/rufus,pbatard,12,2023-03-25T13:45:31Z,The Reliable USB Formatting Utility
20,C,mpv,21870,2568,C,https://github.com/mpv-player/mpv,mpv-player,862,2023-03-27T05:01:35Z,🎥 Command line video player
21,C,stb,21432,7431,C,https://github.com/nothings/stb,nothings,88,2023-03-23T06:27:52Z,stb single-file public domain libraries for C/C++
22,C,openssl,21270,9004,C,https://github.com/openssl/openssl,openssl,1788,2023-03-27T11:02:20Z,TLS/SSL and crypto library
23,C,libuv,21114,3324,C,https://github.com/libuv/libuv,libuv,107,2023-03-26T09:03:52Z,Cross-platform asynchronous I/O
24,C,TDengine,21067,4632,C,https://github.com/taosdata/TDengine,taosdata,855,2023-03-27T11:42:05Z,"TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
25,C,masscan,20804,2889,C,https://github.com/robertdavidgraham/masscan,robertdavidgraham,340,2023-03-21T16:15:24Z,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes."
26,C,The-Art-Of-Programming-By-July-2nd,20794,7180,C,https://github.com/julycoding/The-Art-Of-Programming-By-July-2nd,julycoding,47,2023-02-26T17:05:49Z,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售
27,C,How-to-Make-a-Computer-Operating-System,20231,3395,C,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse,44,2021-12-16T09:10:55Z,How to Make a Computer Operating System in C++
28,C,zstd,19845,1869,C,https://github.com/facebook/zstd,facebook,100,2023-03-27T06:06:18Z,Zstandard - Fast real-time compression algorithm
29,C,Tasmota,19433,4339,C,https://github.com/arendst/Tasmota,arendst,10,2023-03-27T09:46:40Z,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at"
30,C,HarmonyOS,18699,3324,C,https://github.com/Awesome-HarmonyOS/HarmonyOS,Awesome-HarmonyOS,0,2022-07-07T01:24:35Z,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。
31,C,nginx,18181,6229,C,https://github.com/nginx/nginx,nginx,0,2023-03-13T12:59:44Z,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html"
32,C,radare2,17789,2836,C,https://github.com/radareorg/radare2,radareorg,832,2023-03-27T11:56:34Z,UNIX-like reverse engineering framework and command-line toolset
33,C,mimikatz,16953,3261,C,https://github.com/gentilkiwi/mimikatz,gentilkiwi,126,2023-03-03T10:17:14Z,A little tool to play with Windows security
34,C,hashcat,16871,2507,C,https://github.com/hashcat/hashcat,hashcat,198,2023-03-26T23:10:45Z,World's fastest and most advanced password recovery utility
35,C,goaccess,15954,1033,C,https://github.com/allinurl/goaccess,allinurl,351,2023-03-17T22:17:29Z,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.
