rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,CSharp,PowerToys,88577,5099,C#,https://github.com/microsoft/PowerToys,microsoft,4643,2023-03-26T14:29:59Z,Windows system utilities to maximize productivity
2,CSharp,v2rayN,39819,7620,C#,https://github.com/2dust/v2rayN,2dust,38,2023-03-26T12:05:54Z,"A V2Ray client for Windows, support Xray core and v2fly core"
3,CSharp,Files,26630,1729,C#,https://github.com/files-community/Files,files-community,391,2023-03-27T04:29:34Z,Building the best file manager experience for Windows
4,CSharp,ShareX,23713,2813,C#,https://github.com/ShareX/ShareX,ShareX,513,2023-03-27T06:20:16Z,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from."
5,CSharp,dnSpy,22979,4506,C#,https://github.com/dnSpy/dnSpy,dnSpy,0,2020-12-20T23:55:15Z,.NET debugger and assembly editor
6,CSharp,eShopOnContainers,22802,9817,C#,https://github.com/dotnet-architecture/eShopOnContainers,dotnet-architecture,23,2023-03-24T09:53:36Z,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 7, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor."
7,CSharp,Wox,22749,2374,C#,https://github.com/Wox-launcher/Wox,Wox-launcher,976,2022-12-27T10:47:18Z,"Launcher for Windows, an alternative to Alfred and Launchy."
8,CSharp,WaveFunctionCollapse,20966,1121,C#,https://github.com/mxgmn/WaveFunctionCollapse,mxgmn,1,2023-03-10T02:57:18Z,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics
9,CSharp,RevokeMsgPatcher,19819,2602,C#,https://github.com/huiyadanli/RevokeMsgPatcher,huiyadanli,50,2023-01-15T06:18:35Z,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）
10,CSharp,ScreenToGif,19690,1972,C#,https://github.com/NickeManarin/ScreenToGif,NickeManarin,208,2023-03-20T16:00:29Z,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video."
11,CSharp,maui,18675,1258,C#,https://github.com/dotnet/maui,dotnet,2172,2023-03-27T11:32:31Z,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop."
12,CSharp,awesome-dotnet-core,17707,2712,C#,https://github.com/thangchung/awesome-dotnet-core,thangchung,19,2023-02-13T22:57:06Z,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software"
13,CSharp,ILSpy,17345,3078,C#,https://github.com/icsharpcode/ILSpy,icsharpcode,206,2023-03-27T11:32:37Z,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!"
14,CSharp,Ryujinx,16876,1847,C#,https://github.com/Ryujinx/Ryujinx,Ryujinx,383,2023-03-27T06:57:11Z,Experimental Nintendo Switch Emulator written in C#
15,CSharp,Dapper,15951,3606,C#,https://github.com/DapperLib/Dapper,DapperLib,359,2023-03-11T20:21:56Z,Dapper - a simple object mapper for .Net
16,CSharp,netch,13904,2301,C#,https://github.com/netchx/netch,netchx,8,2023-03-23T17:03:50Z,A simple proxy client
17,CSharp,QuickLook,13854,962,C#,https://github.com/QL-Win/QuickLook,QL-Win,367,2023-03-25T21:56:15Z,Bring macOS “Quick Look” feature to Windows
18,CSharp,MaterialDesignInXamlToolkit,13336,3208,C#,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,MaterialDesignInXAML,170,2023-03-23T06:31:49Z,"Google's Material Design in XAML & WPF, for C# & VB.Net. "
19,CSharp,SteamTools,13049,816,C#,https://github.com/BeyondDimension/SteamTools,BeyondDimension,509,2023-03-27T11:52:38Z,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。
20,CSharp,OpenRA,12563,2492,C#,https://github.com/OpenRA/OpenRA,OpenRA,1454,2023-03-27T11:25:45Z,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X."
21,CSharp,CleanArchitecture,12337,2229,C#,https://github.com/ardalis/CleanArchitecture,ardalis,16,2023-03-23T18:31:02Z,Clean Architecture Solution Template: A starting point for Clean Architecture with ASP.NET Core
22,CSharp,efcore,12334,2919,C#,https://github.com/dotnet/efcore,dotnet,1766,2023-03-27T11:22:59Z,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations."
23,CSharp,osu,12009,1873,C#,https://github.com/ppy/osu,ppy,978,2023-03-27T04:13:19Z,rhythm is just a *click* away!
24,CSharp,FastGithub,11922,1626,C#,https://github.com/dotnetcore/FastGithub,dotnetcore,111,2022-12-08T18:58:24Z,github加速神器，解决github打不开、用户头像无法加载、releases无法上传下载、git-clone、git-pull、git-push失败等问题
25,CSharp,downkyi,11780,1467,C#,https://github.com/leiurayer/downkyi,leiurayer,320,2023-03-15T03:49:42Z,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。https://t.me/+7zeNbdkP0TEzODll
26,CSharp,PEASS-ng,11773,2627,C#,https://github.com/carlospolop/PEASS-ng,carlospolop,16,2023-03-26T04:24:57Z,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors)
27,CSharp,AspNetCore.Docs,11480,25409,C#,https://github.com/dotnet/AspNetCore.Docs,dotnet,393,2023-03-27T06:00:17Z,Documentation for ASP.NET Core
28,CSharp,N_m3u8DL-CLI,11175,1867,C#,https://github.com/nilaoda/N_m3u8DL-CLI,nilaoda,222,2023-03-25T15:17:49Z,"[.NET] m3u8 downloader 开源的命令行m3u8/HLS/dash下载器，支持普通AES-128-CBC解密，多线程，自定义请求头等. 支持简体中文,繁体中文和英文. English Supported."
29,CSharp,aspnetboilerplate,10966,3691,C#,https://github.com/aspnetboilerplate/aspnetboilerplate,aspnetboilerplate,180,2023-03-23T07:18:17Z,ASP.NET Boilerplate - Web Application Framework
30,CSharp,CMWTAT_Digital_Edition,10868,1581,C#,https://github.com/TGSAN/CMWTAT_Digital_Edition,TGSAN,21,2023-02-06T22:24:51Z,"CloudMoe Windows 10/11 Activation Toolkit get digital license, the best open source Win 10/11 activator in GitHub. GitHub 上最棒的开源 Win10/Win11 数字权利（数字许可证）激活工具！"
31,CSharp,mono,10356,3780,C#,https://github.com/mono/mono,mono,2116,2023-03-13T11:59:18Z,"Mono open source ECMA CLI, C# and .NET implementation."
32,CSharp,lively,10334,829,C#,https://github.com/rocksdanister/lively,rocksdanister,223,2023-03-06T02:27:00Z,Free and open-source software that allows users to set animated desktop wallpapers and screensavers powered by WinUI 3.
33,CSharp,csharplang,9769,974,C#,https://github.com/dotnet/csharplang,dotnet,423,2023-03-27T07:28:00Z,The official repo for the design of the C# programming language
34,CSharp,basic-computer-games,9371,1214,C#,https://github.com/coding-horror/basic-computer-games,coding-horror,12,2023-03-23T17:16:08Z,"An updated version of the classic ""Basic Computer Games"" book, with well-written examples in a variety of common MEMORY SAFE, SCRIPTING programming languages. See https://coding-horror.github.io/basic-computer-games/"
35,CSharp,MediatR,9308,1056,C#,https://github.com/jbogard/MediatR,jbogard,11,2023-03-26T22:53:27Z,"Simple, unambitious mediator implementation in .NET"
36,CSharp,AutoMapper,9296,1708,C#,https://github.com/AutoMapper/AutoMapper,AutoMapper,0,2023-03-22T17:12:26Z,A convention-based object-object mapper in .NET. 
37,CSharp,ArchiSteamFarm,9212,993,C#,https://github.com/JustArchiNET/ArchiSteamFarm,JustArchiNET,1,2023-03-26T09:04:29Z,C# application with primary purpose of farming Steam cards from multiple accounts simultaneously.
38,CSharp,CefSharp,9205,2852,C#,https://github.com/cefsharp/CefSharp,cefsharp,43,2023-03-16T03:17:33Z,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework
39,CSharp,RestSharp,8961,2283,C#,https://github.com/restsharp/RestSharp,restsharp,18,2023-03-26T14:04:56Z,Simple REST and HTTP API Client for .NET
40,CSharp,SignalR,8855,2292,C#,https://github.com/SignalR/SignalR,SignalR,20,2023-03-15T16:47:40Z,Incredibly simple real-time web for .NET
41,CSharp,Jackett,8835,1049,C#,https://github.com/Jackett/Jackett,Jackett,182,2023-03-27T06:02:14Z,API Support for your favorite torrent trackers
42,CSharp,BenchmarkDotNet,8828,873,C#,https://github.com/dotnet/BenchmarkDotNet,dotnet,165,2023-03-13T14:59:19Z,Powerful .NET library for benchmarking
43,CSharp,FluentTerminal,8764,442,C#,https://github.com/felixse/FluentTerminal,felixse,242,2023-03-22T20:02:30Z,A Terminal Emulator based on UWP and web technologies.
44,CSharp,duplicati,8600,800,C#,https://github.com/duplicati/duplicati,duplicati,889,2023-03-25T03:23:07Z,Store securely encrypted backups in the cloud!
45,CSharp,Locale-Emulator,8487,725,C#,https://github.com/xupefei/Locale-Emulator,xupefei,0,2022-04-15T09:55:46Z,Yet Another System Region and Language Simulator
46,CSharp,Hangfire,8139,1583,C#,https://github.com/HangfireIO/Hangfire,HangfireIO,720,2023-03-24T07:35:40Z,An easy way to perform background job processing in your .NET and .NET Core applications. No Windows Service or separate process required
47,CSharp,Terminal.Gui,8029,597,C#,https://github.com/gui-cs/Terminal.Gui,gui-cs,96,2023-03-27T11:59:39Z,Cross Platform Terminal UI toolkit for .NET
48,CSharp,nopCommerce,7997,4540,C#,https://github.com/nopSolutions/nopCommerce,nopSolutions,71,2023-03-27T11:15:46Z,ASP.NET Core eCommerce software. nopCommerce is a free and open-source shopping cart.
49,CSharp,WeiXinMPSDK,7756,4283,C#,https://github.com/JeffreySu/WeiXinMPSDK,JeffreySu,202,2023-03-21T15:35:49Z,微信全平台 SDK Senparc.Weixin for C#，支持 .NET Framework 及 .NET Core、.NET 6.0、.NET 7.0。已支持微信公众号、小程序、小游戏、微信支付、企业微信/企业号、开放平台、JSSDK、微信周边等全平台。 WeChat SDK for C#.
50,CSharp,Humanizer,7599,894,C#,https://github.com/Humanizr/Humanizer,Humanizr,203,2023-03-04T19:30:32Z,"Humanizer meets all your .NET needs for manipulating and displaying strings, enums, dates, times, timespans, numbers and quantities"
51,CSharp,Jackett,8835,1049,C#,https://github.com/Jackett/Jackett,Jackett,182,2023-03-27T06:02:14Z,API Support for your favorite torrent trackers
52,CSharp,BenchmarkDotNet,8828,873,C#,https://github.com/dotnet/BenchmarkDotNet,dotnet,165,2023-03-13T14:59:19Z,Powerful .NET library for benchmarking
53,CSharp,winsw,8810,1335,C#,https://github.com/winsw/winsw,winsw,157,2023-03-24T05:57:00Z,"A wrapper executable that can run any executable as a Windows service, in a permissive license."
54,CSharp,FluentTerminal,8764,442,C#,https://github.com/felixse/FluentTerminal,felixse,242,2023-03-22T20:02:30Z,A Terminal Emulator based on UWP and web technologies.
55,CSharp,MahApps.Metro,8648,2419,C#,https://github.com/MahApps/MahApps.Metro,MahApps,66,2023-03-02T22:41:18Z,A framework that allows developers to cobble together a better UI for their own WPF applications with minimal effort.
56,CSharp,duplicati,8600,800,C#,https://github.com/duplicati/duplicati,duplicati,889,2023-03-25T03:23:07Z,Store securely encrypted backups in the cloud!
