rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
1,linux,47300,148662,C,https://github.com/torvalds/linux,Linux kernel source tree,MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,2023-03-28T09:02:58Z
2,scrcpy,8274,80051,C,https://github.com/Genymobile/scrcpy,Display and control your Android device,MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,2023-03-28T06:33:12Z
3,netdata,5479,62417,C,https://github.com/netdata/netdata,"Real-time performance monitoring, done right! https://www.netdata.cloud",MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,2023-03-28T12:54:58Z
4,redis,22359,59126,C,https://github.com/redis/redis,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",MDEwOlJlcG9zaXRvcnkxNTYwMTg=,2023-03-28T12:32:36Z
5,Ventoy,3304,47009,C,https://github.com/ventoy/Ventoy,A new bootable USB solution.,MDEwOlJlcG9zaXRvcnkyNDYzMzU5ODc=,2023-03-28T06:32:19Z
6,obs-studio,6727,46471,C,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,MDEwOlJlcG9zaXRvcnkxMzIzMzE1OA==,2023-03-28T13:04:26Z
7,git,24869,45708,C,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,MDEwOlJlcG9zaXRvcnkzNjUwMg==,2023-03-28T00:34:48Z
8,php-src,7498,35211,C,https://github.com/php/php-src,The PHP Interpreter,MDEwOlJlcG9zaXRvcnkxOTAzNTIy,2023-03-28T12:29:40Z
9,FFmpeg,10741,35089,C,https://github.com/FFmpeg/FFmpeg,Mirror of https://git.ffmpeg.org/ffmpeg.git,MDEwOlJlcG9zaXRvcnkxNjE0NDEw,2023-03-28T13:05:05Z
10,wrk,2796,34128,C,https://github.com/wg/wrk,Modern HTTP benchmarking tool,MDEwOlJlcG9zaXRvcnkzNzc0MzI4,2023-01-19T00:59:31Z
11,ijkplayer,7967,31250,C,https://github.com/bilibili/ijkplayer,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",MDEwOlJlcG9zaXRvcnkxMDQ0Njg5MA==,2022-12-23T14:16:42Z
12,curl,5639,28996,C,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",MDEwOlJlcG9zaXRvcnk1NjkwNDE=,2023-03-28T13:01:55Z
13,tmux,1873,28159,C,https://github.com/tmux/tmux,tmux source code,MDEwOlJlcG9zaXRvcnkzNjgzNjQ3NQ==,2023-03-26T21:42:26Z
14,lede,18815,25382,C,https://github.com/coolsnowwolf/lede,Lean's LEDE source,MDEwOlJlcG9zaXRvcnkxMDI1NzgzNDU=,2023-03-27T15:15:21Z
15,the_silver_searcher,1380,24752,C,https://github.com/ggreer/the_silver_searcher,"A code-searching tool similar to ack, but faster.",MDEwOlJlcG9zaXRvcnkyODEwNDU1,2023-03-20T09:49:17Z
16,os-tutorial,3081,24714,C,https://github.com/cfenollosa/os-tutorial,How to create an OS from scratch,MDEwOlJlcG9zaXRvcnkyNDU4NjMwOA==,2023-02-19T13:42:52Z
17,jq,1415,24580,C,https://github.com/stedolan/jq,Command-line JSON processor,MDEwOlJlcG9zaXRvcnk1MTAxMTQx,2023-03-27T15:59:04Z
18,darknet,21231,23971,C,https://github.com/pjreddie/darknet,Convolutional Neural Networks,MDEwOlJlcG9zaXRvcnkxODY2Njc1OA==,2023-03-22T07:48:36Z
19,emscripten,3044,23518,C,https://github.com/emscripten-core/emscripten,Emscripten: An LLVM-to-WebAssembly Compiler,MDEwOlJlcG9zaXRvcnkxMzU3Nzk2,2023-03-28T12:49:23Z
20,rufus,2231,22300,C,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility,MDEwOlJlcG9zaXRvcnkyODEwMjky,2023-03-27T19:50:33Z
21,mpv,2570,21882,C,https://github.com/mpv-player/mpv,🎥 Command line video player,MDEwOlJlcG9zaXRvcnk2MjAxMDky,2023-03-28T12:08:59Z
22,stb,7436,21436,C,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,MDEwOlJlcG9zaXRvcnkyMDE1OTg2Nw==,2023-03-23T06:27:52Z
23,openssl,9010,21280,C,https://github.com/openssl/openssl,TLS/SSL and crypto library,MDEwOlJlcG9zaXRvcnk3NjM0Njc3,2023-03-28T12:16:25Z
24,libuv,3324,21120,C,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,MDEwOlJlcG9zaXRvcnkxNDgxMjczOQ==,2023-03-28T09:58:56Z
25,TDengine,4631,21070,C,https://github.com/taosdata/TDengine,"TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps.",MDEwOlJlcG9zaXRvcnkxOTYzNTM2NzM=,2023-03-28T12:50:34Z
26,masscan,2889,20806,C,https://github.com/robertdavidgraham/masscan,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.",MDEwOlJlcG9zaXRvcnkxMTcxNTc1Mw==,2023-03-21T16:15:24Z
27,The-Art-Of-Programming-By-July-2nd,7180,20794,C,https://github.com/julycoding/The-Art-Of-Programming-By-July-2nd,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售,MDEwOlJlcG9zaXRvcnkxNTE4MzQ4NQ==,2023-02-26T17:05:49Z
28,How-to-Make-a-Computer-Operating-System,3396,20232,C,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,How to Make a Computer Operating System in C++,MDEwOlJlcG9zaXRvcnkxNDgwNzE3Mw==,2021-12-16T09:10:55Z
29,zstd,1870,19850,C,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,MDEwOlJlcG9zaXRvcnkyOTc1OTcxNQ==,2023-03-27T23:44:07Z
30,Tasmota,4340,19439,C,https://github.com/arendst/Tasmota,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",MDEwOlJlcG9zaXRvcnk4MDI4NjI4OA==,2023-03-27T13:42:45Z
31,HarmonyOS,3322,18701,C,https://github.com/Awesome-HarmonyOS/HarmonyOS,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。,MDEwOlJlcG9zaXRvcnkyMDE0NTQwNTE=,2022-07-07T01:24:35Z
32,nginx,6234,18188,C,https://github.com/nginx/nginx,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html",MDEwOlJlcG9zaXRvcnkzNzkxMjM5OA==,2023-03-13T12:59:44Z
33,radare2,2836,17795,C,https://github.com/radareorg/radare2,UNIX-like reverse engineering framework and command-line toolset,MDEwOlJlcG9zaXRvcnk0ODY5Mjk0,2023-03-28T12:23:17Z
34,mimikatz,3263,16956,C,https://github.com/gentilkiwi/mimikatz,A little tool to play with Windows security,MDEwOlJlcG9zaXRvcnkxODQ5NjE2Ng==,2023-03-03T10:17:14Z
35,hashcat,2509,16886,C,https://github.com/hashcat/hashcat,World's fastest and most advanced password recovery utility,MDEwOlJlcG9zaXRvcnk0NzQwOTY3Mg==,2023-03-27T22:06:30Z
36,bcc,3355,16881,C,https://github.com/iovisor/bcc,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more",MDEwOlJlcG9zaXRvcnkzNDkyMTExNg==,2023-03-28T13:10:24Z
