rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
1,PowerToys,5103,88603,C#,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,2023-03-28T11:49:51Z
2,shadowsocks-windows,16423,56116,C#,https://github.com/shadowsocks/shadowsocks-windows,A C# port of shadowsocks,MDEwOlJlcG9zaXRvcnk3NjAwNDA5,2023-02-27T03:52:35Z
3,v2rayN,7631,39891,C#,https://github.com/2dust/v2rayN,"A V2Ray client for Windows, support Xray core and v2fly core",MDEwOlJlcG9zaXRvcnkxOTk1NzAwNzE=,2023-03-28T12:13:01Z
4,PowerShell,6415,37678,C#,https://github.com/PowerShell/PowerShell,PowerShell for every system!,MDEwOlJlcG9zaXRvcnk0OTYwOTU4MQ==,2023-03-28T00:36:41Z
5,aspnetcore,8937,31291,C#,https://github.com/dotnet/aspnetcore,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",MDEwOlJlcG9zaXRvcnkxNzYyMDM0Nw==,2023-03-28T10:51:10Z
6,Files,1737,26865,C#,https://github.com/files-community/Files,Building the best file manager experience for Windows,MDEwOlJlcG9zaXRvcnkxNjQxNDA3NTY=,2023-03-28T11:15:26Z
7,ShareX,2812,23726,C#,https://github.com/ShareX/ShareX,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",MDEwOlJlcG9zaXRvcnkxMzQyODI2NA==,2023-03-28T10:43:02Z
8,CodeHub,655,23024,C#,https://github.com/CodeHubApp/CodeHub,CodeHub is an iOS application written using Xamarin,MDEwOlJlcG9zaXRvcnkxMTYyMDY2OQ==,2022-06-22T16:14:05Z
9,dnSpy,4508,22987,C#,https://github.com/dnSpy/dnSpy,.NET debugger and assembly editor,MDEwOlJlcG9zaXRvcnkzODM4MDg1NA==,2020-12-20T23:55:15Z
10,eShopOnContainers,9817,22812,C#,https://github.com/dotnet-architecture/eShopOnContainers,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 7, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",MDEwOlJlcG9zaXRvcnk3MDEwNDgyNQ==,2023-03-27T18:29:25Z
11,Wox,2375,22755,C#,https://github.com/Wox-launcher/Wox,"Launcher for Windows, an alternative to Alfred and Launchy.",MDEwOlJlcG9zaXRvcnkxNTMxNTc4OQ==,2022-12-27T10:47:18Z
12,jellyfin,1987,21281,C#,https://github.com/jellyfin/jellyfin,The Free Software Media System,MDEwOlJlcG9zaXRvcnkxNjEwMTIwMTk=,2023-03-28T10:24:29Z
13,WaveFunctionCollapse,1121,20980,C#,https://github.com/mxgmn/WaveFunctionCollapse,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics,MDEwOlJlcG9zaXRvcnk2OTY2MjcyMA==,2023-03-10T02:57:18Z
14,RevokeMsgPatcher,2604,19852,C#,https://github.com/huiyadanli/RevokeMsgPatcher,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,MDEwOlJlcG9zaXRvcnkxOTgwNzE3NTY=,2023-03-27T13:42:24Z
15,ScreenToGif,1973,19701,C#,https://github.com/NickeManarin/ScreenToGif,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",MDEwOlJlcG9zaXRvcnk2NDcxMzc2OQ==,2023-03-20T16:00:29Z
16,maui,1257,18679,C#,https://github.com/dotnet/maui,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",MDEwOlJlcG9zaXRvcnkyNjIzOTUyMjQ=,2023-03-28T11:50:58Z
17,awesome-dotnet-core,2712,17709,C#,https://github.com/thangchung/awesome-dotnet-core,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software",MDEwOlJlcG9zaXRvcnk1NDA4Njk2OQ==,2023-02-13T22:57:06Z
18,Avalonia,1515,17374,C#,https://github.com/AvaloniaUI/Avalonia,A cross-platform UI framework for .NET,MDEwOlJlcG9zaXRvcnkxNDk2NDQ3NQ==,2023-03-28T12:15:33Z
19,ILSpy,3078,17355,C#,https://github.com/icsharpcode/ILSpy,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",MDEwOlJlcG9zaXRvcnkxMzI3NzM5,2023-03-27T11:32:37Z
20,roslyn,3838,17224,C#,https://github.com/dotnet/roslyn,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,MDEwOlJlcG9zaXRvcnkyOTA3ODk5Nw==,2023-03-28T11:51:33Z
21,Ryujinx,1849,16901,C#,https://github.com/Ryujinx/Ryujinx,Experimental Nintendo Switch Emulator written in C#,MDEwOlJlcG9zaXRvcnkxMjAyMzE2OTE=,2023-03-28T10:40:40Z
22,Dapper,3607,15952,C#,https://github.com/DapperLib/Dapper,Dapper - a simple object mapper for .Net,MDEwOlJlcG9zaXRvcnkxNjEzMzQ1,2023-03-11T20:21:56Z
23,ml-agents,3769,14363,C#,https://github.com/Unity-Technologies/ml-agents,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,MDEwOlJlcG9zaXRvcnkxMDI5MDQ2MTM=,2023-03-26T15:38:43Z
24,netch,2303,13910,C#,https://github.com/netchx/netch,A simple proxy client,MDEwOlJlcG9zaXRvcnkxOTM2ODE2ODY=,2023-03-23T17:03:50Z
25,QuickLook,964,13866,C#,https://github.com/QL-Win/QuickLook,Bring macOS “Quick Look” feature to Windows,MDEwOlJlcG9zaXRvcnk4ODA2NDM1Nw==,2023-03-25T21:56:15Z
26,DevToys,731,13744,C#,https://github.com/veler/DevToys,A Swiss Army knife for developers.,R_kgDOGIblEA,2023-03-27T05:45:00Z
27,MaterialDesignInXamlToolkit,3211,13335,C#,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",MDEwOlJlcG9zaXRvcnkzMDQ3NDI2Ng==,2023-03-23T06:31:49Z
28,SteamTools,816,13060,C#,https://github.com/BeyondDimension/SteamTools,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。,MDEwOlJlcG9zaXRvcnkzMjE2ODI0NjU=,2023-03-28T09:05:50Z
29,OpenRA,2493,12570,C#,https://github.com/OpenRA/OpenRA,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.",MDEwOlJlcG9zaXRvcnk5NTk5MDg=,2023-03-28T12:23:19Z
30,CleanArchitecture,2229,12344,C#,https://github.com/ardalis/CleanArchitecture,Clean Architecture Solution Template: A starting point for Clean Architecture with ASP.NET Core,MDEwOlJlcG9zaXRvcnk2OTY3MzAzMw==,2023-03-28T10:32:42Z
31,efcore,2920,12341,C#,https://github.com/dotnet/efcore,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",MDEwOlJlcG9zaXRvcnkxNjE1Nzc0Ng==,2023-03-28T12:23:41Z
32,server,1038,12196,C#,https://github.com/bitwarden/server,"The core infrastructure backend (API, database, Docker, etc).",MDEwOlJlcG9zaXRvcnk0Njc1NTE4NQ==,2023-03-27T21:14:33Z
33,osu,1876,12017,C#,https://github.com/ppy/osu,rhythm is just a *click* away!,MDEwOlJlcG9zaXRvcnkyMjQ1NjQ0MA==,2023-03-28T09:50:14Z
34,FastGithub,1628,11940,C#,https://github.com/dotnetcore/FastGithub,github加速神器，解决github打不开、用户头像无法加载、releases无法上传下载、git-clone、git-pull、git-push失败等问题,MDEwOlJlcG9zaXRvcnkzNzU5MzkwNzI=,2022-12-08T18:58:24Z
35,downkyi,1469,11807,C#,https://github.com/leiurayer/downkyi,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。https://t.me/+7zeNbdkP0TEzODll,MDEwOlJlcG9zaXRvcnkzMjQ0NzM4OTU=,2023-03-15T03:49:42Z
36,PEASS-ng,2629,11778,C#,https://github.com/carlospolop/PEASS-ng,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),MDEwOlJlcG9zaXRvcnkxNjU1NDgxOTE=,2023-03-27T19:08:37Z
