rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
1,JavaGuide,43693,132310,Java,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,2023-03-28T07:21:43Z
2,react-native,23093,108579,Java,https://github.com/facebook/react-native,A framework for building native applications using React,MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,2023-03-28T12:34:11Z
3,java-design-patterns,24767,80467,Java,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,2023-03-28T05:51:02Z
4,LeetCodeAnimation,13855,72664,Java,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,2023-03-21T01:33:14Z
5,advanced-java,18166,69307,Java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,2023-03-27T22:14:48Z
6,spring-boot,38277,66325,Java,https://github.com/spring-projects/spring-boot,Spring Boot,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,2023-03-28T11:15:30Z
7,mall,26476,64421,Java,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,2023-03-27T06:28:13Z
8,elasticsearch,22897,63165,Java,https://github.com/elastic/elasticsearch,"Free and Open, Distributed, RESTful Search Engine",MDEwOlJlcG9zaXRvcnk1MDc3NzU=,2023-03-28T12:29:37Z
9,GitHub-Chinese-Top-Charts,8812,60792,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,2023-03-28T01:24:04Z
10,interviews,12525,59428,Java,https://github.com/kdn251/interviews,Everything you need to know to get the job.,MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,2023-02-18T16:00:23Z
11,spring-framework,35817,51233,Java,https://github.com/spring-projects/spring-framework,Spring Framework,MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,2023-03-28T12:27:46Z
12,Java,16742,50868,Java,https://github.com/TheAlgorithms/Java,All Algorithms implemented in Java,MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,2023-03-28T12:32:06Z
13,guava,10451,47061,Java,https://github.com/google/guava,Google core libraries for Java,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,2023-03-28T12:20:05Z
14,RxJava,7670,46880,Java,https://github.com/ReactiveX/RxJava,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,MDEwOlJlcG9zaXRvcnk3NTA4NDEx,2023-03-27T04:58:23Z
15,retrofit,7253,41323,Java,https://github.com/square/retrofit,A type-safe HTTP client for Android and the JVM,MDEwOlJlcG9zaXRvcnk4OTIyNzU=,2023-03-26T20:06:14Z
16,dubbo,25749,38630,Java,https://github.com/apache/dubbo,"Apache Dubbo is a high-performance, java based, open source RPC framework.",MDEwOlJlcG9zaXRvcnk0NzEwOTIw,2023-03-28T10:41:28Z
17,ghidra,4755,38114,Java,https://github.com/NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=,2023-03-28T10:02:05Z
18,MPAndroidChart,8913,36276,Java,https://github.com/PhilJay/MPAndroidChart,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",MDEwOlJlcG9zaXRvcnkxOTE0ODk0OQ==,2023-03-20T14:11:45Z
19,jeecg-boot,13308,34023,Java,https://github.com/jeecgboot/jeecg-boot,⭐️「企业级低代码平台」前后端分离架构SpringBoot 2.x，SpringCloud，Ant Design&Vue，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。,MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=,2023-03-15T03:36:27Z
20,jadx,4231,33890,Java,https://github.com/skylot/jadx,Dex to Java decompiler,MDEwOlJlcG9zaXRvcnk4ODU5NDc0,2023-03-25T15:44:53Z
21,lottie-android,5345,33728,Java,https://github.com/airbnb/lottie-android,"Render After Effects animations natively on Android and iOS, Web, and React Native",MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==,2023-03-01T09:39:42Z
22,tutorials,53004,33719,Java,https://github.com/eugenp/tutorials,"Just Announced - ""Learn Spring Security OAuth"": ",MDEwOlJlcG9zaXRvcnk5NzU0OTgz,2023-03-28T12:20:34Z
23,glide,6046,33477,Java,https://github.com/bumptech/glide,An image loading and caching library for Android focused on smooth scrolling,MDEwOlJlcG9zaXRvcnkxMTI2NzUwOQ==,2023-03-27T21:29:54Z
24,hello-algorithm,6197,32165,Java,https://github.com/geekxh/hello-algorithm,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）点击下方网站，马上开始刷题！,MDEwOlJlcG9zaXRvcnkyNjc3NzU2Mjk=,2022-08-08T01:20:14Z
25,arthas,6915,32033,Java,https://github.com/alibaba/arthas,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=,2023-03-22T07:14:02Z
26,AndroidUtilCode,10565,31973,Java,https://github.com/Blankj/AndroidUtilCode,:fire: Android developers should collect the following utils(updating).,MDEwOlJlcG9zaXRvcnk2NDU1ODE0Mw==,2023-03-16T03:31:50Z
27,dbeaver,2811,31269,Java,https://github.com/dbeaver/dbeaver,Free universal database tool and SQL client,MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,2023-03-28T11:50:12Z
28,netty,15194,30924,Java,https://github.com/netty/netty,Netty project - an event-driven asynchronous network application framework,MDEwOlJlcG9zaXRvcnkxMDY0NTYz,2023-03-28T08:21:13Z
29,zxing,9279,30831,Java,https://github.com/zxing/zxing,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",MDEwOlJlcG9zaXRvcnkyNTYyNzUx,2023-03-23T17:48:54Z
30,spring-boot-demo,10039,29067,Java,https://github.com/xkcoding/spring-boot-demo,🚀一个用来深入学习并实战 Spring Boot 的项目。,MDEwOlJlcG9zaXRvcnkxMTAyMTExNDc=,2022-12-22T02:27:52Z
31,spring-boot-examples,12225,28711,Java,https://github.com/ityouknow/spring-boot-examples,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==,2022-12-29T02:11:04Z
32,apollo,10096,27895,Java,https://github.com/apolloconfig/apollo,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==,2023-03-28T12:16:48Z
33,easyexcel,6986,27251,Java,https://github.com/alibaba/easyexcel,快速、简洁、解决大文件内存溢出的java处理Excel工具,MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=,2023-03-28T05:36:26Z
34,JCSprout,7153,26958,Java,https://github.com/crossoverJie/JCSprout,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm ",MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=,2022-10-24T12:27:21Z
35,druid,8355,26701,Java,https://github.com/alibaba/druid,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池,MDEwOlJlcG9zaXRvcnkyNzAwMTU5,2023-03-26T06:28:23Z
36,halo,8421,26493,Java,https://github.com/halo-dev/halo,强大易用的开源建站工具。,MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=,2023-03-28T09:42:44Z
37,selenium,7455,26145,Java,https://github.com/SeleniumHQ/selenium,A browser automation framework and ecosystem.,MDEwOlJlcG9zaXRvcnk3NjEzMjU3,2023-03-27T20:51:25Z
38,nacos,11494,25867,Java,https://github.com/alibaba/nacos,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=,2023-03-28T11:37:42Z
39,miaosha,6658,25789,Java,https://github.com/qiurunze123/miaosha,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓,MDEwOlJlcG9zaXRvcnkxNDg3MzYyNDM=,2022-10-19T04:50:10Z
40,hutool,7025,25787,Java,https://github.com/dromara/hutool,🍬A set of tools that keep Java sweet.,MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==,2023-03-28T11:10:13Z
41,vhr,10214,25736,Java,https://github.com/lenve/vhr,微人事是一个前后端分离的人力资源管理系统，项目采用SpringBoot+Vue开发。,MDEwOlJlcG9zaXRvcnkxMTYyMzc4MjM=,2023-03-17T02:16:10Z
42,butterknife,4685,25647,Java,https://github.com/JakeWharton/butterknife,Bind Android views and callbacks to fields and methods.,MDEwOlJlcG9zaXRvcnk4NTc1MTM3,2022-03-08T16:26:04Z
43,canal,7176,25352,Java,https://github.com/alibaba/canal,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,MDEwOlJlcG9zaXRvcnk3NTg3MDM4,2023-03-23T05:46:10Z
44,SpringAll,7564,25254,Java,https://github.com/wuyouzhuguli/SpringAll,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc,MDEwOlJlcG9zaXRvcnkxMzE3ODk0OTQ=,2022-10-31T09:56:20Z
45,fastjson,6516,25223,Java,https://github.com/alibaba/fastjson,"FASTJSON 2.0.x has been released, faster and more secure, recommend you upgrade.",MDEwOlJlcG9zaXRvcnkyNzAwNDc0,2023-03-19T12:57:40Z
46,spring-cloud-alibaba,7694,25161,Java,https://github.com/alibaba/spring-cloud-alibaba,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=,2023-03-28T10:27:46Z
47,proxyee-down,4543,25083,Java,https://github.com/proxyee-down-org/proxyee-down,http下载工具，基于http代理，支持多连接分块下载,MDEwOlJlcG9zaXRvcnkxMDgyNTI4OTI=,2022-10-26T09:46:16Z
48,toBeTopJavaer,5408,24500,Java,https://github.com/hollischuang/toBeTopJavaer,To Be Top Javaer - Java工程师成神之路,MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=,2023-02-22T02:32:21Z
